SaleID	Date	StoreID	CustomerID	EmployeeID	ProductID	Quantity	Discount	SalesAmount	Profit
SA00128	15/05/2026	S06	C0002	E024	P021	3	15	431.92	155.92
SA00129	6/03/2025	S09	C0204	E056	P040	4	10	458.1	130.1
SA00130	22/05/2026	S05	C0166	E073	P058	4	5	1467.67	223.67
SA00131	14/05/2025	S10	C0249	E088	P002	3	20	1023.53	264.53
SA00132	12/04/2025	S11	C0236	E005	P010	1	0	556.15	160.15
SA00133	28/03/2026	S08	C0001	E110	P088	1	5	828.78	361.78
SA00134	6/11/2025	S03	C0141	E024	P095	2	5	1065.63	489.63
SA00135	26/03/2025	S06	C0085	E014	P017	3	10	1622.3	194.3
SA00136	28/08/2025	S07	C0047	E025	P004	4	10	334.8	82.8
SA00137	4/05/2026	S02	C0068	E058	P007	1	5	36.61	8.61
SA00138	10/01/2025	S01	C0176	E031	P070	5	15	3569.36	1424.36
SA00139	5/05/2026	S02	C0118	E099	P039	4	5	3357.76	1569.76
SA00140	16/04/2025	S06	C0189	E077	P050	1	0	397.07	149.07
SA00141	17/05/2025	S11	C0074	E018	P065	2	15	1466.11	466.11
SA00142	9/01/2025	S10	C0085	E113	P034	5	20	230.76	15.76
SA00143	5/06/2025	S07	C0227	E056	P031	3	5	1585.34	319.34
SA00144	24/05/2025	S02	C0197	E090	P053	1	0	114.51	21.51
SA00145	24/05/2025	S04	C0142	E022	P019	4	10	2268.22	796.22
SA00146	19/10/2025	S01	C0155	E053	P007	2	20	61.66	5.66
SA00147	6/06/2026	S04	C0201	E076	P006	5	20	1647.48	377.48
SA00148	22/05/2026	S07	C0058	E062	P071	1	5	726.91	254.91
SA00149	14/03/2025	S09	C0007	E093	P084	4	20	1064.16	300.16
SA00150	1/02/2026	S10	C0216	E094	P062	3	5	2732.27	1238.27
SA00151	28/04/2026	S02	C0009	E018	P029	5	5	950.81	430.81
SA00152	9/08/2025	S01	C0031	E102	P083	1	10	521.78	147.78
SA00153	29/05/2026	S07	C0217	E103	P026	5	10	2556.18	626.18
SA00154	6/06/2025	S05	C0043	E080	P049	1	20	365.2	27.2
SA00155	28/07/2025	S03	C0275	E084	P079	1	20	269.2	92.2
SA00156	9/03/2025	S05	C0224	E062	P032	4	20	355.14	39.14
SA00157	30/03/2025	S07	C0060	E117	P033	1	5	393.19	80.19
SA00158	26/02/2025	S05	C0090	E031	P071	5	20	3060.68	700.68
SA00159	12/01/2025	S03	C0255	E089	P011	1	5	75.63	9.63
SA00160	23/09/2025	S03	C0191	E033	P008	5	20	159.2	-5.8
SA00161	31/01/2025	S06	C0220	E070	P019	3	0	1890.18	786.18
SA00162	27/09/2025	S10	C0040	E128	P033	5	0	2069.4	504.4
SA00163	4/01/2026	S01	C0256	E146	P060	4	20	279.23	67.23
SA00164	11/06/2025	S05	C0053	E147	P037	2	10	1639.62	683.62
SA00165	6/06/2026	S01	C0023	E004	P085	1	5	372.14	140.14
SA00166	29/04/2026	S06	C0197	E039	P060	2	0	174.52	68.52
SA00167	6/03/2026	S04	C0165	E064	P020	2	0	192.02	66.02
SA00168	5/10/2025	S02	C0191	E031	P034	4	10	207.68	35.68
SA00169	3/07/2025	S04	C0265	E012	P041	5	0	1969.4	814.4
SA00170	22/04/2026	S05	C0160	E084	P013	4	0	1953.32	845.32
SA00171	13/04/2026	S01	C0189	E052	P082	1	20	542.58	143.58
SA00172	8/11/2025	S10	C0125	E119	P033	3	20	993.31	54.31
SA00173	21/05/2026	S04	C0280	E063	P078	3	20	1778.16	407.16
SA00174	24/02/2026	S01	C0120	E139	P079	2	0	673	319
SA00175	10/12/2025	S01	C0193	E079	P057	3	0	1168.17	526.17
SA00176	1/09/2025	S07	C0252	E016	P099	1	5	141.73	61.73
SA00177	6/04/2025	S01	C0119	E134	P084	2	10	598.59	216.59
SA00178	15/04/2026	S02	C0049	E130	P032	4	10	399.53	83.53
SA00179	18/03/2025	S10	C0032	E112	P051	2	15	512.48	42.48
SA00180	26/10/2025	S05	C0162	E101	P012	2	5	573.1	123.1
SA00181	9/04/2026	S05	C0120	E020	P027	3	10	1452.09	243.09
SA00182	22/04/2025	S03	C0055	E043	P100	2	5	1791.68	813.68
SA00183	18/11/2025	S07	C0062	E138	P089	4	15	2342.97	934.97
SA00184	8/04/2026	S05	C0238	E068	P028	3	5	1210.71	223.71
SA00185	11/06/2025	S11	C0156	E011	P016	1	0	40.27	14.27
SA00186	1/06/2025	S02	C0128	E092	P022	2	10	805.95	325.95
SA00187	20/02/2025	S11	C0154	E067	P076	4	20	339.17	3.17
SA00188	19/02/2026	S08	C0128	E025	P095	2	0	1121.72	545.72
SA00189	24/05/2025	S02	C0007	E016	P075	4	0	569.08	157.08
SA00190	22/07/2025	S07	C0191	E022	P018	2	5	876.81	278.81
SA00191	23/09/2025	S02	C0012	E017	P057	5	20	1557.56	487.56
SA00192	12/05/2025	S02	C0170	E032	P021	2	15	287.95	103.95
SA00193	21/02/2025	S03	C0222	E102	P021	1	15	143.97	51.97
SA00194	27/01/2026	S11	C0219	E045	P055	4	0	1836.36	748.36
SA00195	11/07/2025	S05	C0144	E115	P044	3	5	85.19	13.19
SA00196	9/09/2025	S11	C0152	E128	P080	2	0	241.6	97.6
SA00197	6/05/2026	S01	C0045	E072	P035	4	20	1292.13	264.13
SA00198	6/03/2026	S04	C0270	E064	P031	4	5	2113.79	425.79
SA00199	27/01/2026	S06	C0246	E140	P075	5	0	711.35	196.35
SA00200	30/05/2026	S06	C0199	E070	P069	4	10	1973.66	289.66
SA00201	23/11/2025	S10	C0113	E008	P080	2	0	241.6	97.6
SA00202	29/04/2026	S09	C0184	E150	P004	3	0	279	90
SA00203	13/04/2025	S04	C0124	E069	P006	2	5	782.55	274.55
SA00204	13/08/2025	S10	C0199	E091	P005	5	0	1306.95	556.95
SA00205	31/08/2025	S10	C0163	E092	P089	2	5	1309.31	605.31
SA00206	27/12/2025	S10	C0073	E145	P035	5	0	2018.95	733.95
SA00207	13/11/2025	S03	C0252	E010	P071	2	15	1300.79	356.79
SA00208	27/08/2025	S10	C0113	E006	P061	1	0	210.24	60.24
SA00209	1/01/2025	S06	C0104	E034	P076	5	15	450.46	30.46
SA00210	28/11/2025	S01	C0012	E038	P087	3	5	523.94	142.94
SA00211	24/04/2025	S09	C0187	E019	P032	5	5	527.16	132.16
SA00212	14/04/2025	S06	C0155	E083	P100	3	15	2404.62	937.62
SA00213	24/03/2026	S11	C0250	E082	P019	2	5	1197.11	461.11
SA00214	1/01/2026	S04	C0090	E097	P039	2	20	1413.79	519.79
SA00215	11/05/2025	S03	C0001	E147	P071	3	10	2065.96	649.96
SA00216	3/02/2025	S03	C0163	E057	P017	4	20	1922.72	18.72
SA00217	24/05/2026	S03	C0170	E020	P057	5	0	1946.95	876.95
SA00218	24/11/2025	S03	C0046	E086	P089	2	10	1240.4	536.4
SA00219	29/09/2025	S04	C0128	E018	P014	4	0	2172.8	1008.8
SA00220	21/04/2025	S01	C0025	E099	P094	3	10	1424.6	425.6
SA00221	20/06/2025	S07	C0253	E097	P032	4	15	377.33	61.33
SA00222	20/01/2026	S02	C0246	E148	P067	3	20	1475.69	20.69
SA00223	8/04/2026	S02	C0018	E076	P059	2	5	936.98	264.98
SA00224	25/09/2025	S02	C0038	E088	P050	1	10	357.36	109.36
SA00225	14/06/2025	S02	C0048	E087	P041	2	15	669.6	207.6
SA00226	10/05/2026	S01	C0221	E043	P036	5	20	2621.8	651.8
SA00227	10/06/2025	S01	C0052	E085	P058	5	15	1641.48	86.48
SA00228	24/02/2026	S09	C0277	E068	P045	2	5	143.43	55.43
SA00229	1/09/2025	S02	C0026	E101	P099	3	10	402.81	162.81
SA00230	18/05/2026	S03	C0028	E093	P053	5	20	458.04	-6.96
SA00231	31/03/2025	S05	C0246	E052	P062	1	15	814.89	316.89
SA00232	31/07/2025	S03	C0150	E021	P062	1	0	958.69	460.69
SA00233	12/11/2025	S07	C0242	E126	P098	4	0	898.24	322.24
SA00234	1/02/2026	S03	C0190	E098	P062	3	0	2876.07	1382.07
SA00235	2/04/2026	S01	C0135	E113	P033	3	5	1179.56	240.56
SA00236	20/08/2025	S05	C0032	E039	P010	4	10	2002.14	418.14
SA00237	19/12/2025	S09	C0212	E059	P031	1	0	556.26	134.26
SA00238	1/02/2026	S09	C0215	E138	P033	5	0	2069.4	504.4
SA00239	30/08/2025	S08	C0154	E021	P049	4	20	1460.8	108.8
SA00240	30/05/2026	S10	C0265	E147	P052	4	0	1875.84	395.84
SA00241	4/05/2025	S08	C0089	E043	P007	5	5	183.06	43.06
SA00242	10/05/2025	S01	C0217	E021	P009	2	5	1271.92	293.92
SA00243	1/06/2025	S10	C0133	E082	P083	4	5	2203.05	707.05
SA00244	2/02/2026	S09	C0204	E142	P054	1	0	456.35	227.35
SA00245	17/06/2026	S08	C0007	E134	P012	3	10	814.4	139.4
SA00246	1/03/2026	S03	C0076	E146	P080	4	0	483.2	195.2
SA00247	13/04/2025	S02	C0052	E074	P060	5	20	349.04	84.04
SA00248	25/02/2026	S05	C0197	E125	P054	5	10	2053.58	908.58
SA00249	30/04/2026	S01	C0089	E071	P050	5	20	1588.28	348.28
SA00250	16/02/2026	S01	C0203	E085	P021	4	5	643.64	275.64
SA00251	2/05/2026	S05	C0191	E006	P085	2	0	783.46	319.46
SA00252	15/11/2025	S05	C0252	E026	P063	3	10	597.81	72.81
SA00253	4/11/2025	S08	C0165	E069	P037	2	5	1730.71	774.71
SA00254	2/04/2025	S04	C0227	E055	P052	4	20	1500.67	20.67
SA00255	13/06/2026	S06	C0029	E132	P045	4	15	256.67	80.67
SA00256	15/11/2025	S09	C0207	E035	P082	2	0	1356.44	558.44
SA00257	30/01/2025	S03	C0099	E052	P018	5	20	1845.92	350.92
SA00258	3/02/2025	S08	C0026	E093	P032	1	5	105.43	26.43
SA00259	13/01/2026	S08	C0259	E102	P004	2	10	167.4	41.4
SA00260	5/09/2025	S06	C0251	E115	P053	1	0	114.51	21.51
SA00261	25/12/2025	S06	C0084	E067	P073	2	15	35.46	7.46
SA00262	29/01/2025	S07	C0026	E042	P067	1	10	553.38	68.38
SA00263	15/08/2025	S11	C0116	E053	P043	5	5	288.94	78.94
SA00264	10/06/2026	S01	C0005	E122	P047	3	15	1022.78	299.78
SA00265	9/01/2025	S04	C0130	E079	P063	2	5	420.68	70.68
SA00266	21/01/2026	S06	C0236	E065	P001	3	15	570.82	138.82
SA00267	6/11/2025	S11	C0267	E102	P081	2	15	201.16	25.16
SA00268	8/01/2025	S09	C0192	E144	P081	5	0	591.65	151.65
SA00269	17/10/2025	S05	C0056	E124	P085	5	20	1566.92	406.92
SA00270	11/10/2025	S11	C0167	E071	P009	1	10	602.49	113.49
SA00271	12/07/2025	S03	C0265	E062	P056	3	10	1018.44	433.44
SA00272	18/02/2026	S11	C0164	E036	P081	1	20	94.66	6.66
SA00273	30/10/2025	S05	C0215	E104	P044	1	15	25.41	1.41
SA00274	14/07/2025	S06	C0114	E137	P076	4	0	423.96	87.96
SA00275	4/06/2026	S05	C0088	E143	P035	4	10	1453.64	425.64
SA00276	10/04/2025	S08	C0066	E067	P088	2	10	1570.32	636.32
SA00277	10/12/2025	S11	C0046	E057	P021	5	5	804.56	344.56
SA00278	11/11/2025	S07	C0170	E096	P095	3	5	1598.45	734.45
SA00279	29/10/2025	S08	C0061	E121	P071	3	20	1836.41	420.41
SA00280	14/03/2025	S08	C0100	E129	P100	1	20	754.39	265.39
SA00281	2/11/2025	S07	C0028	E039	P091	1	15	361.22	99.22
SA00282	17/12/2025	S07	C0235	E037	P011	2	5	151.26	19.26
SA00283	24/03/2025	S08	C0171	E046	P037	3	5	2596.06	1162.06
SA00284	5/01/2025	S08	C0141	E054	P012	3	0	904.89	229.89
SA00285	12/06/2025	S08	C0046	E034	P024	2	20	319.62	61.62
SA00286	16/03/2026	S07	C0220	E123	P090	5	15	1859.59	654.59
SA00287	8/02/2025	S09	C0103	E096	P022	4	0	1791	831
SA00288	15/07/2025	S01	C0003	E064	P098	1	10	202.1	58.1
SA00289	16/11/2025	S03	C0053	E099	P046	2	10	961.94	323.94
SA00290	10/11/2025	S03	C0034	E012	P032	5	20	443.92	48.92
SA00291	12/04/2026	S09	C0269	E087	P045	3	10	203.82	71.82
SA00292	17/12/2025	S08	C0184	E049	P100	4	5	3583.36	1627.36
SA00293	20/01/2025	S04	C0115	E034	P061	2	15	357.41	57.41
SA00294	1/06/2026	S03	C0064	E094	P079	2	0	673	319
SA00295	19/09/2025	S09	C0025	E013	P080	1	15	102.68	30.68
SA00296	19/02/2025	S02	C0214	E114	P088	1	0	872.4	405.4
SA00297	16/09/2025	S08	C0079	E053	P100	4	0	3771.96	1815.96
SA00298	7/03/2026	S11	C0052	E134	P003	1	10	177.87	33.87
SA00299	21/05/2025	S07	C0054	E131	P034	3	20	138.46	9.46
SA00300	17/10/2025	S02	C0055	E128	P064	5	0	744.35	359.35
SA00301	24/07/2025	S05	C0268	E052	P028	2	20	679.7	21.7
SA00302	30/10/2025	S03	C0021	E141	P040	3	15	324.49	78.49
SA00303	8/05/2026	S06	C0121	E001	P052	4	5	1782.05	302.05
SA00304	24/04/2025	S10	C0253	E039	P072	1	0	535.48	187.48
SA00305	18/03/2025	S02	C0132	E060	P060	1	20	69.81	16.81
SA00306	28/09/2025	S08	C0026	E026	P087	4	10	661.82	153.82
SA00307	25/10/2025	S06	C0161	E110	P008	2	0	79.6	13.6
SA00308	16/02/2025	S01	C0071	E044	P070	1	0	839.85	410.85
SA00309	25/03/2026	S10	C0138	E024	P091	3	10	1147.39	361.39
SA00310	7/07/2025	S02	C0206	E103	P093	3	10	384.43	159.43
SA00311	30/01/2026	S08	C0216	E043	P054	4	10	1642.86	726.86
SA00312	2/03/2025	S03	C0054	E107	P019	1	5	598.56	230.56
SA00313	25/03/2026	S03	C0195	E092	P005	5	15	1110.91	360.91
SA00314	14/05/2025	S08	C0250	E029	P041	5	0	1969.4	814.4
SA00315	17/02/2025	S02	C0134	E081	P018	4	15	1569.03	373.03
SA00316	18/08/2025	S11	C0174	E133	P052	1	20	375.17	5.17
SA00317	8/04/2025	S07	C0128	E124	P042	5	20	1528.8	-6.2
SA00318	2/06/2025	S09	C0028	E003	P074	3	15	1716.99	243.99
SA00319	26/04/2026	S08	C0085	E020	P023	2	20	123.95	23.95
SA00320	4/09/2025	S06	C0143	E013	P096	4	10	2542.93	790.93
SA00321	23/01/2026	S07	C0121	E021	P034	5	5	274.03	59.03
SA00322	4/04/2026	S02	C0256	E115	P060	4	15	296.68	84.68
SA00323	25/05/2026	S11	C0010	E027	P029	3	0	600.51	288.51
SA00324	6/02/2025	S09	C0001	E024	P072	4	15	1820.63	428.63
SA00325	8/11/2025	S09	C0106	E117	P067	5	20	2459.48	34.48
SA00326	25/02/2025	S04	C0233	E085	P084	3	10	897.89	324.89
SA00327	30/04/2026	S11	C0187	E116	P088	5	20	3489.6	1154.6
SA00328	16/08/2025	S01	C0175	E091	P077	1	0	479.61	215.61
SA00329	19/06/2026	S06	C0055	E012	P082	3	20	1627.73	430.73
SA00330	24/05/2025	S07	C0055	E066	P046	2	15	908.5	270.5
SA00331	12/07/2025	S02	C0202	E056	P071	5	5	3634.56	1274.56
SA00332	13/12/2025	S02	C0213	E012	P088	4	5	3315.12	1447.12
SA00333	7/04/2026	S08	C0259	E035	P096	5	0	3531.85	1341.85
SA00334	19/02/2025	S09	C0222	E150	P004	4	0	372	120
SA00335	1/07/2025	S10	C0089	E033	P017	4	20	1922.72	18.72
SA00336	26/11/2025	S09	C0197	E108	P017	1	15	510.72	34.72
SA00337	8/10/2025	S07	C0176	E076	P014	5	5	2580.2	1125.2
SA00338	22/05/2025	S07	C0263	E077	P097	4	5	722.27	122.27
SA00339	11/08/2025	S04	C0108	E075	P052	5	10	2110.32	260.32
SA00340	2/07/2025	S09	C0278	E083	P048	3	5	1626.75	237.75
SA00341	7/05/2026	S10	C0214	E137	P058	1	10	347.61	36.61
SA00342	14/01/2025	S09	C0055	E007	P039	3	15	2253.23	912.23
SA00343	24/02/2025	S11	C0029	E052	P063	4	5	841.36	141.36
SA00344	21/10/2025	S11	C0129	E038	P004	3	5	265.05	76.05
SA00345	28/07/2025	S09	C0017	E092	P075	1	10	128.04	25.04
SA00346	18/08/2025	S11	C0200	E061	P088	4	0	3489.6	1621.6
SA00347	18/02/2025	S07	C0199	E107	P025	5	10	1551.51	186.51
SA00348	25/02/2025	S01	C0129	E052	P096	3	20	1695.29	381.29
SA00349	19/08/2025	S11	C0189	E140	P026	5	15	2414.17	484.17
SA00350	18/07/2025	S05	C0230	E046	P019	5	5	2992.78	1152.78
SA00351	27/06/2025	S09	C0062	E097	P044	1	5	28.4	4.4
SA00352	13/10/2025	S09	C0136	E034	P038	1	15	557.97	227.97
SA00353	19/09/2025	S01	C0170	E120	P075	2	20	227.63	21.63
SA00354	7/06/2025	S06	C0027	E078	P020	2	0	192.02	66.02
SA00355	2/01/2026	S02	C0163	E135	P049	4	20	1460.8	108.8
SA00356	18/06/2026	S02	C0259	E041	P069	2	5	1041.66	199.66
SA00357	18/02/2026	S02	C0179	E057	P094	4	20	1688.42	356.42
SA00358	6/12/2025	S06	C0151	E056	P082	2	10	1220.8	422.8
SA00359	2/05/2026	S09	C0005	E030	P094	5	20	2110.52	445.52
SA00360	4/09/2025	S11	C0125	E011	P099	3	15	380.43	140.43
SA00361	27/04/2025	S07	C0132	E139	P100	3	15	2404.62	937.62
SA00362	14/06/2026	S06	C0264	E131	P025	3	0	1034.34	215.34
SA00363	14/02/2025	S05	C0099	E083	P044	4	15	101.63	5.63
SA00364	9/04/2025	S03	C0276	E137	P013	5	0	2441.65	1056.65
SA00365	4/08/2025	S11	C0110	E109	P064	1	0	148.87	71.87
SA00366	22/03/2026	S11	C0037	E040	P085	1	5	372.14	140.14
SA00367	6/12/2025	S01	C0045	E019	P083	1	15	492.79	118.79
SA00368	15/09/2025	S09	C0037	E148	P038	1	5	623.62	293.62
SA00369	22/02/2026	S07	C0231	E104	P093	2	10	256.28	106.28
SA00370	18/01/2025	S07	C0061	E137	P061	4	10	756.86	156.86
